doy,mean,p10,p50,p90,mean_pv,p10_pv,p50_pv,p90_pv
132,7.075,6.802,7.143,7.349,1.019,0.979,1.029,1.058
133,7.07,6.797,7.143,7.349,1.018,0.979,1.029,1.058
134,7.056,6.797,7.124,7.349,1.016,0.979,1.026,1.058
135,7.048,6.78,7.114,7.349,1.015,0.976,1.024,1.058
136,7.046,6.747,7.123,7.349,1.015,0.972,1.026,1.058
137,7.038,6.747,7.114,7.349,1.013,0.972,1.024,1.058
138,7.017,6.684,7.112,7.34,1.01,0.962,1.024,1.057
139,7.004,6.595,7.103,7.335,1.009,0.95,1.023,1.056
140,7.025,6.684,7.103,7.335,1.012,0.962,1.023,1.056
141,7.008,6.718,7.064,7.3,1.009,0.967,1.017,1.051
142,6.987,6.617,7.059,7.296,1.006,0.953,1.016,1.051
143,6.977,6.617,7.044,7.3,1.005,0.953,1.014,1.051
144,6.955,6.51,7.023,7.323,1.002,0.937,1.011,1.055
145,6.939,6.346,7.023,7.333,0.999,0.914,1.011,1.056
146,6.932,6.289,7.021,7.358,0.998,0.906,1.011,1.06
147,6.929,6.289,7.023,7.358,0.998,0.906,1.011,1.06
148,6.911,6.151,7.021,7.358,0.995,0.886,1.011,1.06
149,6.878,6.018,6.999,7.358,0.99,0.867,1.008,1.06
150,6.847,5.933,6.999,7.358,0.986,0.854,1.008,1.06
151,6.81,5.892,6.991,7.331,0.981,0.848,1.007,1.056
152,6.791,5.892,6.991,7.331,0.978,0.848,1.007,1.056
153,6.762,5.879,6.948,7.331,0.974,0.847,1.001,1.056
154,6.722,5.82,6.89,7.331,0.968,0.838,0.992,1.056
155,6.688,5.767,6.838,7.331,0.963,0.83,0.985,1.056
156,6.674,5.767,6.801,7.331,0.961,0.83,0.979,1.056
157,6.61,5.719,6.75,7.331,0.952,0.824,0.972,1.056
158,6.563,5.683,6.747,7.253,0.945,0.818,0.972,1.044
159,6.488,5.598,6.734,7.157,0.934,0.806,0.97,1.031
160,6.396,5.532,6.657,7.12,0.921,0.797,0.959,1.025
161,6.327,5.532,6.518,7.083,0.911,0.797,0.939,1.02
162,6.239,5.482,6.444,7.082,0.898,0.789,0.928,1.02
163,6.17,5.274,6.234,7.024,0.888,0.759,0.898,1.011
164,6.118,5.126,6.137,7.027,0.881,0.738,0.884,1.012
165,6.076,4.979,6.111,7.021,0.875,0.717,0.88,1.011
166,6.002,4.979,6.083,6.987,0.864,0.717,0.876,1.006
167,5.958,4.979,6.071,6.941,0.858,0.717,0.874,1.0
168,5.942,4.979,6.062,6.934,0.856,0.717,0.873,0.998
169,5.929,4.979,6.053,6.934,0.854,0.717,0.872,0.998
170,5.899,4.979,6.05,6.918,0.849,0.717,0.871,0.996
171,5.837,4.894,5.938,6.822,0.841,0.705,0.855,0.982
172,5.818,4.793,5.909,6.789,0.838,0.69,0.851,0.978
173,5.758,4.659,5.902,6.761,0.829,0.671,0.85,0.974
174,5.755,4.758,5.889,6.734,0.829,0.685,0.848,0.97
175,5.783,4.848,5.889,6.734,0.833,0.698,0.848,0.97
176,5.725,4.758,5.814,6.734,0.824,0.685,0.837,0.97
177,5.675,4.468,5.822,6.734,0.817,0.643,0.838,0.97
178,5.642,4.111,5.811,6.734,0.812,0.592,0.837,0.97
